1	1	2053	10723 10724;7648 8755 10725	840 3945 15 2084 514	10 840 3838 1752 792 10726 116 1676 49 1844 189 190 9286 165 488 10727 3 514 192 45 11 49 362 3 1204 4718 871 192 871 38 10 710 13 3 189 190 192 577 22 3 488 192 482.94 3792 10 840 3838 1752 792 10726 116 198 514 3906 10728 514 73 11 1760 766 117 577 482 5642 99 45 11 3 189 190 488 514 192 45 393 261 2084 49 245 1204 4718 98 15 98 564 1217 368 10 2553 566 871 1205 10729 10730 3906 192 99.94 855 3 210 3508 48 1579 10 488 1752 482 1287 15 10 2084 189 190 1752 577 5642 99 1287 15 788 762 114 10 1258 13 92 10731 1626 1362 15 10 3906 566 98 22 10732 15 119 202 48 10 10733 98 871.430 202 219 105 512 1258 771 1689 2160 901 250 1689 3030 514.10 232 13 566 3906 22 231 669 26 430 1229 202 11 9139 125 1689 3701 22 94 105 603 430 516 49 3 514 588 5082 10734 3783 10735 536 13 5315 49 612 34 641 26 977.																				
2	0	2054	13677 13678;13679 13680	823 318 48 4627 514 4048 22 669	964 49 10 13681 22 9506 13 10 1896 1964 49 1281 22 3717 1830 10 9321 13 4627 514 3310 3729.92 93 13682 114 3 4004 792 13 4627 514 13683 15 823 1154 117 402 114 10 3174 13 34 278 1173 4048 22 114 10 95 13 958 1829 284.10 2849 13 823 1344 114 10 166 669 13 61 437 2768 57 49 10 1308 13 4627 2211 11 1497.26 238 13684 13 139 87 2440 48 136 13 1987 22 301 1987 2211.433 111 1943 13 10 559 22 111 1516 2178 114 527 514 87 1317.																				
3	0	2050	9809 5003 9120;1483 1319;2803 6006;6009 6010;707 708	2600 10 1197 13 888 156 26 711 712	936 10149 13 719 711 712 5036 30 5231 49 347 1105 1106 49 512 15256 3298 609 863 500 1917 318 13 609 888 1120 832 637 10 887 1173 85 22 1182 424 840 503 413 45 1358 888 156.3 936 79 2017 40 114 10 806 269 3882 1850 49 1785 10 2826 156 40 79 440 26 10 2747 13 279 900 13 514.11 768 204 1502 886 26 270 609 281 318 26 513 14002 1689 685 525 15 15257 609 5656 848 15258 712 26 2867 94 15259 774 10 775 26 10 15260 552 776 10 205 242 2392 870 94 126 45 430 79 11035 15261 40 114 3 322 2072 13 609 281 278 15 10 2643 926 271 1948 530 385 2017 22 34 280 4632 94 87 10 77 49 268 1516 202 15 711 1675 2533 22 750 45 440 1411 10 2533 87 179 3298 368 10 5342 5344 6498 11035 15261 1405 530 111 269 498 5690 1466 22 49 3 179 1160 4275 2017 313 94 126 10 558 13 11035 15261 26 3 123 420 887 183 22 276 45 777 514 742 36 49 985 34 641 303 2017.																				
4	0	2054	8609 23978;18555 23979;22257 22258	23980 3 244 48 3721 4805 11750 2346 48 953 1303	94 456 10 1032 13 3721 4805 11750 2346 48 953 1303.94 995 111 23981 3520 79 45 1698 3 2514 278 15 3 4974 278 49 1529 4805 22 18435 2509 13 953 1303 270 1526 165 953 2346 958 49 10 1334.609 2178 114 1912 1303 26 166 11310 1577 45 430 244 1076 1948 179 4805 2509 368 206 247.435 430 244 801 10 2652 48 4800 117 16845 26 609 2178 1810 49 99 23982 3 151 13 10 446 244 48 953 826 3520.																				
5	2	2047	10452 9243;5228 10681;1441 9975;5687 5688	1154 1173 1535 1155 1153 149 1205 2248 1332	94 110 3 760 1154 1173 269 784 10682 48 1535 1155 1153 149 45 648 434 3339 1739 10 2089 1459.36 3583 1260 10683 13 1253 1402 514 2394 26 10 1155 147 2038 100 273 113 347 2872 49 220 2102 26 3 168 22 3675 664.747 36 11 4106 15 10 6729 1573 766 3 1652 1841 278 5441 117 10 294 1153 10 911 358 22 10 10684 7247 192 87 385 488.1713 10 1153 294 117 10682 1216 80 3422 440 198 3 228 1967.10 503 116 13 10682 219 220 221 222 22 10685 117 111 3815 691 835 184 10 1161 877 11 6999 22 10 98 877 11 210 22 1999.525 276 45 10682 5142 3099 15 235 61 437 1153 149 370.																				
6	0	2043	3191 14620;3528 3726	8539 1275 270 2492 651 328 672 192 3830	1274 196 359 1120 799 1275 87 3 61 1983 22 4812 559 48 772 1120 832 198 1818.1275 87 61 437 49 220 1016 49 1937 2517 22 768 393 261 279 207 114 188 933 272 370.646 61 1497 269 11 49 750 3 3906 13 10 2553 5416 117 11251 10 2701 28 49 3 467 550 400.94 268 3 322 5618 2222 516 48 1275 40 114 2492 651 328 672 192 3830.352 206 1106 505 38 6427 3906 22 345 328 672 192 3830 430 269 6747 10 256 1183 13 10 2701 400 2089.94 268 202 114 154 135 1275 1968 4440 641 303 1233 2771 3906 85 48 1275.																				
7	0	2054	25518 25519;1003 25520;4292 25521	933 391 739 3038 303 335 12646 2167 2211	2167 2211 87 1123 161 49 252 10 669 13 3038 284.235 933 136 30 261 2440 15 1137 2109 22 151 13 10 446 1386 30 261 195 117 3796 505 136.26 238 12425 22 21619 30 1497 2167 2211 45 87 25522 100 11 3 560 13 25523 22 17652 25523 22 1850 45 10 990 391 739 3038 116 11 933 198 1652 3302.94 6939 92 207 117 761 1995 100 11 3 560 13 25522 198 1419 3302.94 751 139 13 391 739 3038 117 776 111 79 40 114 3 322 892 13 1958 25524.430 79 105 7627 7158 114 10 1338 83 940 48 2964 10519 3038 132.94 24977 45 92 292 51 2435 1274 2689 3661 340 22 8545 1386 30 261 1528 48 4971 10519 132.																				
8	1	2048	15352 623;9130 9131 9132	3 3455 5434 1753 326 1124	94 268 3 322 3455 5434 1753 326 18264 1124 100 611 3 386 387 454 535 986 559 49 278 10 1368 271.270 3 151 400 278 1983 117 10 514 3728 940 430 18264 8475 5447 724 10 491 13 2739 271 1344 117 3 1753 317.9165 36 611 3 123 454 516 48 677 857 15 3 1280 13 3366 13932.94 276 10 497 641 13 430 18264 114 385 842 22 527 420 514 515.10 202 126 45 430 18264 11 3 840 491 79 15 80 166 653 100 530 23 151 13 446 488 3691 370.																				
9	1	2052	5904 1319;627 3308;6865 1890;7597 623;576 482 1747	114 3 853 13 1273 2880 1733 48 1330 3385 1330 49 688	2880 1330 370 2242 10 514 400 637 348 117 10 2880 1733 656 514 1736.10 89 13 2880 1330 864 1647 114 10 2880 1733 271 1770 303 10 514 1736 184 2093 1733 11 3870 161.26 92 93 94 268 3 322 2880 1330 559 117 5454 10 2936 656 1330 22 1602 468 688.92 2880 1330 559 1537 111 147 1273 1075 165 344 514 2242 22 1711 48 10 739 2242 13 10 514 117 213 10 560 1258 13 10 294 1192 1070 15 10 514 2557.94 915 347 1273 1192 26 92 559 870.1161.10 3730 2494 1075 22 10 2969 26 1075.156 10 1901 514 358 117 1273 2093 542 491 10 560 1258 762 48 385 147 1273 1192 87 10 710 13 1273 2880 1733 1219 656 10 514 1736 48 10 1033 13 1330.198 3785 358 10 1273 1733 1219 2808 117 385 147 1192 2389 3 61 437 555 13 2093 1733.94 105 751 45 10 560 1258 461 48 10 147 2969 26 1075 11 6768 2323 49 10 3366 4767 13 320 3991 48 189 542 3086 3 1123 161 2939 48 1535 1155 149 22 1330.40 114 10 195 1273 2880 1733 270 10 2969 26 1075 94 110 3 123 1273 5907 40 1330 516 15 4026 1331 695 1378 2336 11 10074 117 10 1516 202.																				
10	0	2053	27068 1727 27069;14111 9736;14520 27070	147 1500 2135 10915 270 359 798 392 22 2230 4970	1500 2135 10915 11 3 251 116 49 1937 26 10 147 183.92 11 507 26 92 183 1382 241 179 765 114 10 7549 656 605 14736 26 10 2877 964 49 18389 13 149 729.270 347 2156 3002 2135 2230 22 1400 2230 94 278 10 15447 116 38 3 2717 3 4078 1313 1382 1894 114 3 359 798 392 5913 1822 270 692 22 686 4970 250 1101 4970.49 10 463 13 430 630 92 1187 13 2230 22 5913 11 322 22 430 544 40 147 15447 244 16368 151 13 10 446 244 114 27071 1182 27071 1184 22 17441 5625 12244 131 1384 397 552 1104 303 11968 4718 1002.																				
